date,game_id,player_team,home_team,away_team,pts,reb,ast,min,fg_pct,player_name
2023-10-25,0022300070,OKC,CHI,OKC,4,4,0,10.5,1.0,Olivier Sarr
2023-10-25,0022300070,OKC,CHI,OKC,13,2,1,19.033333333333335,1.0,Cason Wallace
2023-10-25,0022300070,OKC,CHI,OKC,0,0,0,2.716666666666667,0.0,Lindy Waters III
2023-10-25,0022300070,OKC,CHI,OKC,0,2,0,1.9,0.0,Aleksej Pokusevski
2023-10-25,0022300070,OKC,CHI,OKC,0,0,1,1.9,0.0,Tre Mann
2023-10-25,0022300070,OKC,CHI,OKC,0,0,0,0.0,0.0,Davis Bertans
2023-10-25,0022300070,OKC,CHI,OKC,0,0,0,0.0,0.0,Vasilije Micić
2023-10-25,0022300066,ORL,ORL,HOU,19,4,2,27.05,0.4166666666666667,Franz Wagner
2023-10-25,0022300066,ORL,ORL,HOU,12,5,5,27.9,0.5,Paolo Banchero
2023-10-25,0022300066,ORL,ORL,HOU,8,8,1,26.916666666666668,0.4,Wendell Carter Jr.
2023-10-25,0022300066,ORL,ORL,HOU,8,4,0,20.85,0.25,Jalen Suggs
2023-10-25,0022300066,ORL,ORL,HOU,10,4,2,24.516666666666666,0.5555555555555556,Markelle Fultz
2023-10-25,0022300066,ORL,ORL,HOU,20,8,2,24.083333333333332,0.6666666666666666,Cole Anthony
2023-10-25,0022300066,ORL,ORL,HOU,2,4,0,15.35,0.0,Moritz Wagner
2023-10-25,0022300066,ORL,ORL,HOU,11,5,0,16.95,0.625,Gary Harris
2023-10-25,0022300066,ORL,ORL,HOU,0,4,5,18.233333333333334,0.0,Joe Ingles
2023-10-25,0022300066,ORL,ORL,HOU,11,4,0,14.15,0.6666666666666666,Jonathan Isaac
2023-10-25,0022300066,ORL,ORL,HOU,5,0,1,4.8,1.0,Anthony Black
2023-10-25,0022300066,ORL,ORL,HOU,3,1,0,4.8,0.5,Caleb Houstan
2023-10-25,0022300066,ORL,ORL,HOU,7,3,0,4.8,1.0,Goga Bitadze
2023-10-25,0022300066,ORL,ORL,HOU,0,3,0,4.8,0.0,Chuma Okeke
2023-10-25,0022300066,ORL,ORL,HOU,0,0,1,4.8,0.0,Jett Howard
2023-10-25,0022300066,HOU,ORL,HOU,14,4,2,26.133333333333333,0.7142857142857143,Dillon Brooks
